method,noise_sd_hu,subsample_stride,dose_scale,curve_nrmse,param_mre,realisation,data_loss,physics_loss
closed_form,0.0,1,1.0,5.3052803732164045e-15,9.545967791755963e-15,0,,
deconvolution,0.0,1,1.0,9.06394602738787e-08,nan,0,,
pinn_hybrid,0.0,1,1.0,0.00011123940836814778,0.0003472350286300643,0,0.0009563482646583402,5.435286517762953e-07
amortized,0.0,1,1.0,0.027559734239616617,0.03992558253350784,0,,
closed_form,0.0,1,0.5,0.4999999999999995,3.2931917170670868e-15,0,,
deconvolution,0.0,1,0.5,0.5000000029002643,nan,0,,
pinn_hybrid,0.0,1,0.5,0.4999803294266167,0.00019356582084456033,0,0.00013495749913685327,1.0354967917862236e-08
amortized,0.0,1,0.5,0.48732400762940353,0.03992558253350784,0,,
closed_form,0.0,4,1.0,2.1062715673816976e-15,4.132301354488831e-15,0,,
deconvolution,0.0,4,1.0,0.0034521284324518595,nan,0,,
pinn_hybrid,0.0,4,1.0,0.00010390603864035566,0.00027830834705339644,0,0.0008413815254353637,5.752006349499787e-07
amortized,0.0,4,1.0,0.021552738535589804,0.033773509496687046,0,,
closed_form,0.0,4,0.5,0.4999999999999981,3.7479390679535505e-15,0,,
deconvolution,0.0,4,0.5,0.5003731473669228,nan,0,,
pinn_hybrid,0.0,4,0.5,0.4999780066295859,0.00017506387474285,0,0.00014405972629923726,1.796437900804917e-08
amortized,0.0,4,0.5,0.49015373571234816,0.033773509496687046,0,,
closed_form,10.0,1,1.0,0.005411533326956036,0.022569175023646935,0,,
deconvolution,10.0,1,1.0,0.04097909044344839,nan,0,,
pinn_hybrid,10.0,1,1.0,0.007879062821089711,0.01629520459641661,0,91.31364594329054,4.3840290173969915e-07
amortized,10.0,1,1.0,0.022749367662734974,0.05190368224026849,0,,
closed_form,10.0,1,0.5,0.49587483084267453,0.022702394727331987,0,,
deconvolution,10.0,1,0.5,0.49762000117542726,nan,0,,
pinn_hybrid,10.0,1,0.5,0.4961125218928569,0.029923603664119242,0,110.58463213269061,1.9996312155947227e-06
amortized,10.0,1,0.5,0.4872556467558533,0.04751060597145855,0,,
closed_form,10.0,4,1.0,0.00911375819430537,0.03281192574268426,0,,
deconvolution,10.0,4,1.0,0.030149871908317576,nan,0,,
pinn_hybrid,10.0,4,1.0,0.01528192917173294,0.03814800616905883,0,85.17026201770766,2.384990667209197e-05
amortized,10.0,4,1.0,0.02000091789403755,0.06717529181342127,0,,
closed_form,10.0,4,0.5,0.5033667604735502,0.016557294605452078,0,,
deconvolution,10.0,4,0.5,0.498232416689688,nan,0,,
pinn_hybrid,10.0,4,0.5,0.5032935333941423,0.01941358488728641,0,100.11260975153509,6.3922259558672e-05
amortized,10.0,4,0.5,0.501427808739556,0.045657012037733063,0,,
closed_form,25.0,1,1.0,0.0023754956691490825,0.008946448680906808,0,,
deconvolution,25.0,1,1.0,0.10210137803979134,nan,0,,
pinn_hybrid,25.0,1,1.0,0.007755331698081153,0.03165360526341435,0,601.0636858820102,1.578403808957117e-05
amortized,25.0,1,1.0,0.03592046709266076,0.0555448343800044,0,,
closed_form,25.0,1,0.5,0.5072932452821581,0.07035550474854364,0,,
deconvolution,25.0,1,0.5,0.5101437215336064,nan,0,,
pinn_hybrid,25.0,1,0.5,0.5052026077608314,0.13542139667462133,0,551.0236213577948,8.138961580686574e-06
amortized,25.0,1,0.5,0.503007277510146,0.03567164872469756,0,,
closed_form,25.0,4,1.0,0.004287070086410779,0.014510284036769612,0,,
deconvolution,25.0,4,1.0,0.08479149604034278,nan,0,,
pinn_hybrid,25.0,4,1.0,0.06373723195308492,0.09051637407452104,0,396.5207569873291,0.005274418072119994
amortized,25.0,4,1.0,0.02281790866599332,0.03947206593352324,0,,
closed_form,25.0,4,0.5,0.4811253303924355,0.2688792567999467,0,,
deconvolution,25.0,4,0.5,0.4972248246797763,nan,0,,
pinn_hybrid,25.0,4,0.5,0.4778806103037558,0.11712343346486506,0,711.5265910704103,5.2907166560302755e-05
amortized,25.0,4,0.5,0.4682545063649547,0.18415184811409757,0,,
closed_form,0.0,1,1.0,5.3052803732164045e-15,9.545967791755963e-15,1,,
deconvolution,0.0,1,1.0,9.06394602738787e-08,nan,1,,
pinn_hybrid,0.0,1,1.0,0.0001169478843967499,0.00036057057758331966,1,0.0010403166995103306,4.0423443775956347e-07
amortized,0.0,1,1.0,0.027559734239616617,0.03992558253350784,1,,
closed_form,0.0,1,0.5,0.4999999999999995,3.2931917170670868e-15,1,,
deconvolution,0.0,1,0.5,0.5000000029002643,nan,1,,
pinn_hybrid,0.0,1,0.5,0.4999792952927001,0.00019093045036448964,1,0.00014167512576247112,1.4229908239174627e-08
amortized,0.0,1,0.5,0.48732400762940353,0.03992558253350784,1,,
closed_form,0.0,4,1.0,2.1062715673816976e-15,4.132301354488831e-15,1,,
deconvolution,0.0,4,1.0,0.0034521284324518595,nan,1,,
pinn_hybrid,0.0,4,1.0,0.00011661953288961887,0.00032522270085155215,1,0.0010322988677210906,4.3819320571487655e-07
amortized,0.0,4,1.0,0.021552738535589804,0.033773509496687046,1,,
closed_form,0.0,4,0.5,0.4999999999999981,3.7479390679535505e-15,1,,
deconvolution,0.0,4,0.5,0.5003731473669228,nan,1,,
pinn_hybrid,0.0,4,0.5,0.4999803625343815,0.00017179086263492194,1,0.00012581430092241584,8.301012254694347e-09
amortized,0.0,4,0.5,0.49015373571234816,0.033773509496687046,1,,
closed_form,10.0,1,1.0,0.005294530312245485,0.013189415078420625,1,,
deconvolution,10.0,1,1.0,0.03924932299303448,nan,1,,
pinn_hybrid,10.0,1,1.0,0.005606049342796887,0.013936005405543692,1,91.64432807192924,1.7367990629038234e-06
amortized,10.0,1,1.0,0.036956124279848,0.05520003627167723,1,,
closed_form,10.0,1,0.5,0.4990859375581545,0.004642707887303985,1,,
deconvolution,10.0,1,0.5,0.5057782953096749,nan,1,,
pinn_hybrid,10.0,1,0.5,0.49972244349919687,0.021844160553884356,1,95.06501694368946,1.449993741576291e-05
amortized,10.0,1,0.5,0.4809125147089677,0.06179716853796047,1,,
closed_form,10.0,4,1.0,0.006390123757964879,0.021129130733173948,1,,
deconvolution,10.0,4,1.0,0.03822494539848925,nan,1,,
pinn_hybrid,10.0,4,1.0,0.013872330835787275,0.01996733502166213,1,103.85592580727476,8.030313263979351e-05
amortized,10.0,4,1.0,0.03316443186911622,0.05663491945275505,1,,
closed_form,10.0,4,0.5,0.4930497649319705,0.03351857005659556,1,,
deconvolution,10.0,4,0.5,0.5157089865663598,nan,1,,
pinn_hybrid,10.0,4,0.5,0.4940079680786405,0.07365946350258676,1,96.62290787777798,0.0007532926247344476
amortized,10.0,4,0.5,0.47827478010808305,0.07788190441184395,1,,
closed_form,25.0,1,1.0,0.006599272618879912,0.01227909512110931,1,,
deconvolution,25.0,1,1.0,0.12402308384814818,nan,1,,
pinn_hybrid,25.0,1,1.0,0.01171336786827961,0.023139483646287505,1,634.0160127480665,6.425531117445556e-05
amortized,25.0,1,1.0,0.017629286602935078,0.033057863864211764,1,,
closed_form,25.0,1,0.5,0.5065871595241578,0.0872535909855967,1,,
deconvolution,25.0,1,0.5,0.5113311708186121,nan,1,,
pinn_hybrid,25.0,1,0.5,0.5061539317711059,0.11829310362183788,1,538.456624356012,0.0008082063014328112
amortized,25.0,1,0.5,0.5014912569278426,0.09204372574373791,1,,
closed_form,25.0,4,1.0,0.04194012532331652,0.1947601165902585,1,,
deconvolution,25.0,4,1.0,0.1036600016543404,nan,1,,
pinn_hybrid,25.0,4,1.0,0.052237126722015505,0.2789888774034379,1,506.0326076297262,0.001060601904435242
amortized,25.0,4,1.0,0.04420750008816825,0.2080614609934054,1,,
closed_form,25.0,4,0.5,0.5190874046038902,0.12015471638928366,1,,
deconvolution,25.0,4,0.5,0.5299723062921416,nan,1,,
pinn_hybrid,25.0,4,0.5,0.5239476689516348,0.34845625932345203,1,482.2499350185199,0.0008557641149627689
amortized,25.0,4,0.5,0.5002914192670259,0.15708464356032226,1,,
closed_form,0.0,1,1.0,5.3052803732164045e-15,9.545967791755963e-15,2,,
deconvolution,0.0,1,1.0,9.06394602738787e-08,nan,2,,
pinn_hybrid,0.0,1,1.0,0.00011062591917289106,0.0003477443032400882,2,0.0009480860299426358,5.519524579790622e-07
amortized,0.0,1,1.0,0.027559734239616617,0.03992558253350784,2,,
closed_form,0.0,1,0.5,0.4999999999999995,3.2931917170670868e-15,2,,
deconvolution,0.0,1,0.5,0.5000000029002643,nan,2,,
pinn_hybrid,0.0,1,0.5,0.4999784288816252,0.0001823426579756573,2,0.00014469388608742375,1.322393027427762e-08
amortized,0.0,1,0.5,0.48732400762940353,0.03992558253350784,2,,
closed_form,0.0,4,1.0,2.1062715673816976e-15,4.132301354488831e-15,2,,
deconvolution,0.0,4,1.0,0.0034521284324518595,nan,2,,
pinn_hybrid,0.0,4,1.0,0.00011284985467827369,0.00030753906748400223,2,0.0009723268759004793,4.776878276429603e-07
amortized,0.0,4,1.0,0.021552738535589804,0.033773509496687046,2,,
closed_form,0.0,4,0.5,0.4999999999999981,3.7479390679535505e-15,2,,
deconvolution,0.0,4,0.5,0.5003731473669228,nan,2,,
pinn_hybrid,0.0,4,0.5,0.49998107947276244,0.00017551010711601425,2,0.00012331302933070825,6.848231086656595e-09
amortized,0.0,4,0.5,0.49015373571234816,0.033773509496687046,2,,
closed_form,10.0,1,1.0,0.0016663039859860034,0.0031053590406026534,2,,
deconvolution,10.0,1,1.0,0.045673759326769515,nan,2,,
pinn_hybrid,10.0,1,1.0,0.004441829104287455,0.010950995439360659,2,97.424693850499,8.595465203301931e-06
amortized,10.0,1,1.0,0.03074371119787035,0.04582166336073651,2,,
closed_form,10.0,1,0.5,0.4958179753315193,0.020590372570734976,2,,
deconvolution,10.0,1,0.5,0.4964562438656957,nan,2,,
pinn_hybrid,10.0,1,0.5,0.49557435618764745,0.029589428566221862,2,84.70206311168717,6.909444489230859e-06
amortized,10.0,1,0.5,0.483205487991983,0.06089710658981283,2,,
closed_form,10.0,4,1.0,0.00231111871589272,0.008658203815556563,2,,
deconvolution,10.0,4,1.0,0.03175336939770998,nan,2,,
pinn_hybrid,10.0,4,1.0,0.00361962793916658,0.017144683724390368,2,88.61222110188127,8.207243842451095e-07
amortized,10.0,4,1.0,0.019945020845096917,0.04463350428812819,2,,
closed_form,10.0,4,0.5,0.4996986374439682,0.09559188036161603,2,,
deconvolution,10.0,4,0.5,0.5097153558365763,nan,2,,
pinn_hybrid,10.0,4,0.5,0.4991730622522532,0.047935301404813266,2,91.02419984308531,0.0001276051906973911
amortized,10.0,4,0.5,0.48770722713177184,0.0738539616381356,2,,
closed_form,25.0,1,1.0,0.010229467558175234,0.032589768476979135,2,,
deconvolution,25.0,1,1.0,0.10779399303605376,nan,2,,
pinn_hybrid,25.0,1,1.0,0.011168790257990339,0.02125966967873298,2,726.7592836385311,9.52888952768464e-06
amortized,25.0,1,1.0,0.03364153762115507,0.05840044675705495,2,,
closed_form,25.0,1,0.5,0.49802360402224877,0.008136047208635875,2,,
deconvolution,25.0,1,0.5,0.5169671421804412,nan,2,,
pinn_hybrid,25.0,1,0.5,0.49542374586682447,0.0761290491944186,2,710.3824999054755,1.3844309229790416e-05
amortized,25.0,1,0.5,0.474616748593683,0.10179358231393894,2,,
closed_form,25.0,4,1.0,0.029747948369074375,0.06527905413153201,2,,
deconvolution,25.0,4,1.0,0.07657006538660698,nan,2,,
pinn_hybrid,25.0,4,1.0,0.04200333910857227,0.09838685408725507,2,409.2254281419154,0.0003161571580410036
amortized,25.0,4,1.0,0.024616107526975694,0.10307749988277574,2,,
closed_form,25.0,4,0.5,0.4971149623427181,0.03856790319264901,2,,
deconvolution,25.0,4,0.5,0.490854761426753,nan,2,,
pinn_hybrid,25.0,4,0.5,0.4940471590058666,0.13093481635225193,2,545.8029928832395,7.355746393465615e-05
amortized,25.0,4,0.5,0.5139902549084646,0.0539698625531111,2,,
closed_form,0.0,1,1.0,5.3052803732164045e-15,9.545967791755963e-15,3,,
deconvolution,0.0,1,1.0,9.06394602738787e-08,nan,3,,
pinn_hybrid,0.0,1,1.0,0.00010679824008594067,0.0003344206296464195,3,0.0008934785547869469,5.673937710503522e-07
amortized,0.0,1,1.0,0.027559734239616617,0.03992558253350784,3,,
closed_form,0.0,1,0.5,0.4999999999999995,3.2931917170670868e-15,3,,
deconvolution,0.0,1,0.5,0.5000000029002643,nan,3,,
pinn_hybrid,0.0,1,0.5,0.4999829352146488,0.00021149688638798795,3,0.0001460738508564321,6.658101318594247e-09
amortized,0.0,1,0.5,0.48732400762940353,0.03992558253350784,3,,
closed_form,0.0,4,1.0,2.1062715673816976e-15,4.132301354488831e-15,3,,
deconvolution,0.0,4,1.0,0.0034521284324518595,nan,3,,
pinn_hybrid,0.0,4,1.0,0.00010867775817052394,0.0002959512456200825,3,0.0009181292075365557,5.199027939984756e-07
amortized,0.0,4,1.0,0.021552738535589804,0.033773509496687046,3,,
closed_form,0.0,4,0.5,0.4999999999999981,3.7479390679535505e-15,3,,
deconvolution,0.0,4,0.5,0.5003731473669228,nan,3,,
pinn_hybrid,0.0,4,0.5,0.499981480698551,0.00017930720042085284,3,0.00012279201344597482,5.8100461695680975e-09
amortized,0.0,4,0.5,0.49015373571234816,0.033773509496687046,3,,
closed_form,10.0,1,1.0,0.003940040552642036,0.013168919923238752,3,,
deconvolution,10.0,1,1.0,0.04275134374545049,nan,3,,
pinn_hybrid,10.0,1,1.0,0.0046982083750875935,0.009567204173023834,3,98.7127436648396,4.443484144009244e-06
amortized,10.0,1,1.0,0.021711194900947264,0.03535247639297656,3,,
closed_form,10.0,1,0.5,0.5042607749710127,0.01648639312641336,3,,
deconvolution,10.0,1,0.5,0.5088284223667098,nan,3,,
pinn_hybrid,10.0,1,0.5,0.504024416270303,0.04317693999365911,3,93.75552273531763,5.8751379039512255e-05
amortized,10.0,1,0.5,0.49221201884192717,0.02796583690977922,3,,
closed_form,10.0,4,1.0,0.005494342352365973,0.008412592287477958,3,,
deconvolution,10.0,4,1.0,0.024009001548728166,nan,3,,
pinn_hybrid,10.0,4,1.0,0.007951734399436848,0.020554977923910027,3,72.1065869986995,1.673040512112211e-05
amortized,10.0,4,1.0,0.004905952554342295,0.01768583683426023,3,,
closed_form,10.0,4,0.5,0.5102679029016357,0.059954254033580505,3,,
deconvolution,10.0,4,0.5,0.5106347399233259,nan,3,,
pinn_hybrid,10.0,4,0.5,0.5096927425416528,0.05486446474560095,3,94.32232726235503,0.0002171123818617339
amortized,10.0,4,0.5,0.5086082426701403,0.08332574668595379,3,,
closed_form,25.0,1,1.0,0.006864194163504766,0.013994984842150221,3,,
deconvolution,25.0,1,1.0,0.09893351555497705,nan,3,,
pinn_hybrid,25.0,1,1.0,0.012144064510594443,0.017619586375822314,3,611.7381105801842,3.528353409785066e-05
amortized,25.0,1,1.0,0.02483465117057712,0.05175630688160947,3,,
closed_form,25.0,1,0.5,0.4992208644271702,0.003957643665015738,3,,
deconvolution,25.0,1,0.5,0.5091272593564111,nan,3,,
pinn_hybrid,25.0,1,0.5,0.4994593171124217,0.1336257940052236,3,621.3595068611481,0.0006082969631427639
amortized,25.0,1,0.5,0.48376062468805464,0.06092425024256233,3,,
closed_form,25.0,4,1.0,0.0080529880779973,0.029410943973886286,3,,
deconvolution,25.0,4,1.0,0.09670029487823054,nan,3,,
pinn_hybrid,25.0,4,1.0,0.02584948976968116,0.04491397231953143,3,614.052818995477,0.00020537780791973252
amortized,25.0,4,1.0,0.0315036272525762,0.06995128078583918,3,,
closed_form,25.0,4,0.5,0.4856308014015618,0.09133376835672949,3,,
deconvolution,25.0,4,0.5,0.5047810708511252,nan,3,,
pinn_hybrid,25.0,4,0.5,0.48815824344818426,0.07742224500765715,3,510.4892658096905,0.00013382624782704144
amortized,25.0,4,0.5,0.475640285522117,0.11138686403959533,3,,
closed_form,0.0,1,1.0,5.3052803732164045e-15,9.545967791755963e-15,4,,
deconvolution,0.0,1,1.0,9.06394602738787e-08,nan,4,,
pinn_hybrid,0.0,1,1.0,0.00011212337929582257,0.000351377930857965,4,0.0009716148360210889,5.155381662776321e-07
amortized,0.0,1,1.0,0.027559734239616617,0.03992558253350784,4,,
closed_form,0.0,1,0.5,0.4999999999999995,3.2931917170670868e-15,4,,
deconvolution,0.0,1,0.5,0.5000000029002643,nan,4,,
pinn_hybrid,0.0,1,0.5,0.4999821316655068,0.00019132422693273257,4,0.00013864244157590878,7.093471793913975e-09
amortized,0.0,1,0.5,0.48732400762940353,0.03992558253350784,4,,
closed_form,0.0,4,1.0,2.1062715673816976e-15,4.132301354488831e-15,4,,
deconvolution,0.0,4,1.0,0.0034521284324518595,nan,4,,
pinn_hybrid,0.0,4,1.0,0.00010054954281773376,0.00027378320981173547,4,0.0008045105597287203,6.01556307240812e-07
amortized,0.0,4,1.0,0.021552738535589804,0.033773509496687046,4,,
closed_form,0.0,4,0.5,0.4999999999999981,3.7479390679535505e-15,4,,
deconvolution,0.0,4,0.5,0.5003731473669228,nan,4,,
pinn_hybrid,0.0,4,0.5,0.49997776087641077,0.00016099192874600778,4,0.00013274056993819438,1.3430330730069932e-08
amortized,0.0,4,0.5,0.49015373571234816,0.033773509496687046,4,,
closed_form,10.0,1,1.0,0.007886578457745042,0.019065452396659806,4,,
deconvolution,10.0,1,1.0,0.04513587370121732,nan,4,,
pinn_hybrid,10.0,1,1.0,0.008126510682310193,0.018550961008532926,4,104.8860789188913,2.505716925309355e-06
amortized,10.0,1,1.0,0.025406924783609168,0.03923737933298877,4,,
closed_form,10.0,1,0.5,0.5022774218723308,0.01057455439019192,4,,
deconvolution,10.0,1,0.5,0.5069707108679387,nan,4,,
pinn_hybrid,10.0,1,0.5,0.5040370272198438,0.046604617256111876,4,117.87852577583445,5.971324409954738e-05
amortized,10.0,1,0.5,0.4799905560271484,0.061745397650524,4,,
closed_form,10.0,4,1.0,0.006824659905717059,0.020406321661241848,4,,
deconvolution,10.0,4,1.0,0.037038089150726435,nan,4,,
pinn_hybrid,10.0,4,1.0,0.01587092415791158,0.0184520191628819,4,70.01754262439958,6.503293952454559e-05
amortized,10.0,4,1.0,0.0365104295487616,0.06165901202398187,4,,
closed_form,10.0,4,0.5,0.5039712394228055,0.030226848277115255,4,,
deconvolution,10.0,4,0.5,0.5094342924904333,nan,4,,
pinn_hybrid,10.0,4,0.5,0.5023057443155948,0.07655853604608087,4,61.053109602044536,0.00040354513995659205
amortized,10.0,4,0.5,0.49770324503192886,0.007341740545693725,4,,
closed_form,25.0,1,1.0,0.014929014698809242,0.032629507378482164,4,,
deconvolution,25.0,1,1.0,0.10722157870671595,nan,4,,
pinn_hybrid,25.0,1,1.0,0.020023717088088505,0.0076865944791596474,4,650.9354999515731,2.3207450413075824e-05
